item,sample,metadata_extract,linecut_qr
C67_GD2-69-6_th0.110_1107.0s_T168.980C_5.00s_61148_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":1107.0,""theta"":0.11,""sequence_ID"":61148.0,""annealing_temperature"":168.98},""time"":1.508427052033793e+09}",
C67_GD2-69-6_th0.110_1164.1s_T196.800C_5.00s_61153_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":1164.1,""theta"":0.11,""sequence_ID"":61153.0,""annealing_temperature"":196.8},""time"":1.5084270520387065e+09}",
C67_GD2-69-6_th0.110_121.0s_T126.634C_5.00s_61123_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":121.0,""theta"":0.11,""sequence_ID"":61123.0,""annealing_temperature"":126.634},""time"":1.5084270520435157e+09}",
C67_GD2-69-6_th0.110_1225.1s_T201.714C_5.00s_61158_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":1225.1,""theta"":0.11,""sequence_ID"":61158.0,""annealing_temperature"":201.714},""time"":1.5084270520484853e+09}",
C67_GD2-69-6_th0.110_1287.1s_T200.321C_5.00s_61163_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":1287.1,""theta"":0.11,""sequence_ID"":61163.0,""annealing_temperature"":200.321},""time"":1.5084270520533779e+09}",
C67_GD2-69-6_th0.110_1501.1s_T200.007C_5.00s_61253_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":1501.1,""theta"":0.11,""sequence_ID"":61253.0,""annealing_temperature"":200.007},""time"":1.508427052058078e+09}",
C67_GD2-69-6_th0.110_1564.1s_T200.008C_5.00s_61258_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":1564.1,""theta"":0.11,""sequence_ID"":61258.0,""annealing_temperature"":200.008},""time"":1.5084270520628123e+09}",
C67_GD2-69-6_th0.110_1623.1s_T200.008C_5.00s_61263_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":1623.1,""theta"":0.11,""sequence_ID"":61263.0,""annealing_temperature"":200.008},""time"":1.5084270520678487e+09}",
C67_GD2-69-6_th0.110_1680.1s_T200.008C_5.00s_61268_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":1680.1,""theta"":0.11,""sequence_ID"":61268.0,""annealing_temperature"":200.008},""time"":1.5084270520727963e+09}",
C67_GD2-69-6_th0.110_1741.2s_T200.007C_5.00s_61273_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":1741.2,""theta"":0.11,""sequence_ID"":61273.0,""annealing_temperature"":200.007},""time"":1.5084270520777311e+09}",
C67_GD2-69-6_th0.110_180.0s_T142.701C_5.00s_61128_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":180.0,""theta"":0.11,""sequence_ID"":61128.0,""annealing_temperature"":142.701},""time"":1.508427052083242e+09}",
C67_GD2-69-6_th0.110_1801.1s_T200.006C_5.00s_61278_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":1801.1,""theta"":0.11,""sequence_ID"":61278.0,""annealing_temperature"":200.006},""time"":1.5084270520880215e+09}",
C67_GD2-69-6_th0.110_1864.1s_T200.005C_5.00s_61283_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":1864.1,""theta"":0.11,""sequence_ID"":61283.0,""annealing_temperature"":200.005},""time"":1.508427052092494e+09}",
